#data for Fig. 3(a)
#rms dynamics for effective model. See SM for more details.

#Parameters: J_perp = 5t, J_parallel = 0.

#tau: evolution time

#Delta_rms: root-mean-square of Delta = (x1 - x2)/2
#Delta_std: standard error on Delta_rms estimated from sampling 

#X_rms: root-mean-square of X = (x1 + x2)/2
#norm: norm of wave function (should be 1 always)

tau 	  X_rms	 	 norm
14.0000000 6.8964439 1.0000000
14.0250000 6.9030036 1.0000000
14.0500000 6.9095593 1.0000000
14.0750000 6.9161111 1.0000000
14.1000000 6.9226590 1.0000000
14.1250000 6.9292029 1.0000000
14.1500000 6.9357429 1.0000000
14.1750000 6.9422787 1.0000000
14.2000000 6.9488102 1.0000000
14.2250000 6.9553373 1.0000000
14.2500000 6.9618598 1.0000000
14.2750000 6.9683775 1.0000000
14.3000000 6.9748903 1.0000000
14.3250000 6.9813978 1.0000000
14.3500000 6.9878998 1.0000000
14.3750000 6.9943963 1.0000000
14.4000000 7.0008868 1.0000000
14.4250000 7.0073713 1.0000000
14.4500000 7.0138496 1.0000000
14.4750000 7.0203214 1.0000000
14.5000000 7.0267867 1.0000000
14.5250000 7.0332453 1.0000000
14.5500000 7.0396971 1.0000000
14.5750000 7.0461420 1.0000000
14.6000000 7.0525801 1.0000000
14.6250000 7.0590113 1.0000000
14.6500000 7.0654356 1.0000000
14.6750000 7.0718531 1.0000000
14.7000000 7.0782639 1.0000000
14.7250000 7.0846681 1.0000000
14.7500000 7.0910657 1.0000000
14.7750000 7.0974570 1.0000000
14.8000000 7.1038422 1.0000000
14.8250000 7.1102214 1.0000000
14.8500000 7.1165947 1.0000000
14.8750000 7.1229625 1.0000000
14.9000000 7.1293250 1.0000000
14.9250000 7.1356822 1.0000000
14.9500000 7.1420345 1.0000000
14.9750000 7.1483820 1.0000000
15.0000000 7.1547249 1.0000000
15.0250000 7.1610633 1.0000000
15.0500000 7.1673974 1.0000000
15.0750000 7.1737272 1.0000000
15.1000000 7.1800529 1.0000000
15.1250000 7.1863746 1.0000000
15.1500000 7.1926921 1.0000000
15.1750000 7.1990055 1.0000000
15.2000000 7.2053147 1.0000000
15.2250000 7.2116197 1.0000000
15.2500000 7.2179203 1.0000000
15.2750000 7.2242164 1.0000000
15.3000000 7.2305077 1.0000000
15.3250000 7.2367941 1.0000000
15.3500000 7.2430753 1.0000000
15.3750000 7.2493509 1.0000000
15.4000000 7.2556208 1.0000000
15.4250000 7.2618846 1.0000000
15.4500000 7.2681419 1.0000000
15.4750000 7.2743924 1.0000000
15.5000000 7.2806357 1.0000000
15.5250000 7.2868716 1.0000000
15.5500000 7.2930995 1.0000000
15.5750000 7.2993193 1.0000000
15.6000000 7.3055304 1.0000000
15.6250000 7.3117327 1.0000000
15.6500000 7.3179257 1.0000000
15.6750000 7.3241091 1.0000000
15.7000000 7.3302828 1.0000000
15.7250000 7.3364464 1.0000000
15.7500000 7.3425996 1.0000000
15.7750000 7.3487424 1.0000000
15.8000000 7.3548745 1.0000000
15.8250000 7.3609957 1.0000000
15.8500000 7.3671060 1.0000000
15.8750000 7.3732054 1.0000000
15.9000000 7.3792936 1.0000000
15.9250000 7.3853708 1.0000000
15.9500000 7.3914369 1.0000000
15.9750000 7.3974921 1.0000000
16.0000000 7.4035363 1.0000000
16.0250000 7.4095697 1.0000000
16.0500000 7.4155923 1.0000000
16.0750000 7.4216045 1.0000000
16.1000000 7.4276063 1.0000000
16.1250000 7.4335980 1.0000000
16.1500000 7.4395797 1.0000000
16.1750000 7.4455517 1.0000000
16.2000000 7.4515143 1.0000000
16.2250000 7.4574677 1.0000000
16.2500000 7.4634122 1.0000000
16.2750000 7.4693481 1.0000000
16.3000000 7.4752756 1.0000000
16.3250000 7.4811952 1.0000000
16.3500000 7.4871070 1.0000000
16.3750000 7.4930114 1.0000000
16.4000000 7.4989087 1.0000000
16.4250000 7.5047993 1.0000000
16.4500000 7.5106833 1.0000000
16.4750000 7.5165611 1.0000000
16.5000000 7.5224330 1.0000000
16.5250000 7.5282994 1.0000000
16.5500000 7.5341604 1.0000000
16.5750000 7.5400163 1.0000000
16.6000000 7.5458675 1.0000000
16.6250000 7.5517141 1.0000000
16.6500000 7.5575565 1.0000000
16.6750000 7.5633948 1.0000000
16.7000000 7.5692292 1.0000000
16.7250000 7.5750600 1.0000000
16.7500000 7.5808873 1.0000000
16.7750000 7.5867113 1.0000000
16.8000000 7.5925322 1.0000000
16.8250000 7.5983500 1.0000000
16.8500000 7.6041649 1.0000000
16.8750000 7.6099770 1.0000000
16.9000000 7.6157864 1.0000000
16.9250000 7.6215930 1.0000000
16.9500000 7.6273969 1.0000000
16.9750000 7.6331982 1.0000000
17.0000000 7.6389967 1.0000000
17.0250000 7.6447925 1.0000000
17.0500000 7.6505856 1.0000000
17.0750000 7.6563757 1.0000000
17.1000000 7.6621629 1.0000000
17.1250000 7.6679470 1.0000000
17.1500000 7.6737279 1.0000000
17.1750000 7.6795054 1.0000000
17.2000000 7.6852794 1.0000000
17.2250000 7.6910497 1.0000000
17.2500000 7.6968160 1.0000000
17.2750000 7.7025782 1.0000000
17.3000000 7.7083361 1.0000000
17.3250000 7.7140895 1.0000000
17.3500000 7.7198380 1.0000000
17.3750000 7.7255816 1.0000000
17.4000000 7.7313198 1.0000000
17.4250000 7.7370526 1.0000000
17.4500000 7.7427796 1.0000000
17.4750000 7.7485006 1.0000000
17.5000000 7.7542154 1.0000000
17.5250000 7.7599238 1.0000000
17.5500000 7.7656254 1.0000000
17.5750000 7.7713200 1.0000000
17.6000000 7.7770075 1.0000000
17.6250000 7.7826876 1.0000000
17.6500000 7.7883601 1.0000000
17.6750000 7.7940247 1.0000000
17.7000000 7.7996813 1.0000000
17.7250000 7.8053297 1.0000000
17.7500000 7.8109696 1.0000000
17.7750000 7.8166009 1.0000000
17.8000000 7.8222234 1.0000000
17.8250000 7.8278368 1.0000000
17.8500000 7.8334411 1.0000000
17.8750000 7.8390360 1.0000000
17.9000000 7.8446213 1.0000000
17.9250000 7.8501969 1.0000000
17.9500000 7.8557627 1.0000000
17.9750000 7.8613183 1.0000000
18.0000000 7.8668638 1.0000000
18.0250000 7.8723990 1.0000000
18.0500000 7.8779236 1.0000000
18.0750000 7.8834375 1.0000000
18.1000000 7.8889407 1.0000000
18.1250000 7.8944329 1.0000000
18.1500000 7.8999140 1.0000000
18.1750000 7.9053840 1.0000000
18.2000000 7.9108427 1.0000000
18.2250000 7.9162900 1.0000000
18.2500000 7.9217258 1.0000000
18.2750000 7.9271502 1.0000000
18.3000000 7.9325629 1.0000000
18.3250000 7.9379641 1.0000000
18.3500000 7.9433535 1.0000000
18.3750000 7.9487314 1.0000000
